industry_type,region,country,year,co2_emissions_metrictons,energy_consumption_twh,automobile_co2_emissions_metrictons,industrial_co2_emissions_metrictons,agriculture_co2_emissions_metrictons,domestic_co2_emissions_metrictons,population_millions,gdp_billion_usd,urbanization_percentage,renewable_energy_percentage,industrial_growth_percentage,transport_growth_percentage,co2_emissions_per_capita,energy_consumption_per_capita,renewable_energy_contribution
Energy,Africa,Brazil,2000,44.04,90.27,65.67,93.9,9.92,14.21,590.02,24258.25,34.28,45.19,-3.42,4.69,0.07464153757499746,0.15299481373512763,40.793012999999995
Manufacturing,Africa,Canada,2000,186.01,301.78,52.12,135.23,46.24,2.98,569.63,22324.0,71.92,93.0,7.83,8.27,0.3265453013359549,0.5297824903884978,280.6554
Construction,Africa,Canada,2000,299.09,434.77,43.59,91.42,7.05,5.06,1260.51,11697.94,60.17,67.66,10.38,1.73,0.23727697519258076,0.3449159467199784,294.16538199999997
Construction,Africa,Canada,2000,135.86,443.35,72.4,89.91,8.25,6.44,1060.93,16897.56,85.43,37.12,13.74,7.61,0.12805745902180163,0.4178880793266285,164.57152
Construction,Africa,Canada,2000,284.41,777.65,46.7,114.29,29.96,19.75,698.36,913.37,98.49,81.61,-2.74,0.42,0.4072541382667965,1.113537430551578,634.640165
Energy,Africa,Canada,2000,184.8,212.07,56.82,76.1,25.3,12.1,380.88,15345.22,47.64,51.13,-7.34,-2.03,0.485192186515438,0.5567895400126024,108.431391
Manufacturing,Africa,Canada,2000,182.52,439.64,28.69,86.99,5.88,4.16,498.21,519.2,45.12,22.4,11.41,0.3,0.3663515385078582,0.8824391320928926,98.47936
Energy,Africa,Canada,2000,5.4,387.45,83.25,189.07,35.01,1.71,748.1,12969.05,85.97,2.65,6.81,0.55,0.0072182863253575725,0.5179120438444058,10.267424999999998
Energy,Africa,Canada,2000,194.29,757.72,25.92,11.01,39.95,5.92,1111.04,11298.37,26.98,38.16,2.48,2.88,0.1748721918202765,0.6819916474654378,289.145952
Energy,Africa,Canada,2000,141.0,410.39,76.99,31.56,43.91,0.92,1371.46,23577.71,52.72,38.93,-9.02,9.27,0.1028101439342015,0.2992358508450848,159.764827
Construction,Africa,Canada,2000,14.38,214.7,51.22,43.43,36.06,11.38,206.46,15171.33,41.29,92.0,8.47,3.72,0.06965029545674707,1.039910878620556,197.52399999999997
Energy,Africa,Canada,2000,38.09,93.33,86.11,69.75,15.99,1.02,998.13,5569.17,98.1,52.5,-0.87,4.03,0.038161361746465894,0.09350485407712422,48.99825
Mining,Africa,Canada,2000,277.99,708.8,22.93,143.28,45.54,7.8,156.42,24381.92,93.35,94.63,4.89,-2.48,1.7772024037846825,4.531389847845544,670.7374399999999
Manufacturing,Africa,Canada,2000,254.3,901.92,9.82,36.52,38.57,14.42,1144.18,20242.58,99.65,60.75,-0.63,8.17,0.22225523956020907,0.7882675802758307,547.9164
Manufacturing,Africa,Canada,2000,258.53,369.74,25.18,143.91,28.23,15.41,847.83,3832.49,36.21,91.51,12.82,6.81,0.3049314131370675,0.43610157696708063,338.34907400000003
Manufacturing,Africa,Canada,2000,289.06,559.81,32.03,188.73,36.04,15.9,1067.68,17023.76,77.95,14.25,-2.05,-0.84,0.2707365502772366,0.52432376742095,79.772925
Manufacturing,Africa,Canada,2000,243.79,162.45,60.33,50.43,35.63,19.28,1414.65,18188.61,52.12,60.32,13.64,8.56,0.17233237903368323,0.11483405789417876,97.98983999999999
Mining,Africa,Canada,2000,67.37,919.35,49.31,122.73,14.98,6.03,1209.17,20770.28,71.4,72.82,12.44,4.41,0.05571590429798953,0.7603149267679482,669.4706699999999
Manufacturing,Africa,Canada,2000,48.86,319.12,49.5,117.88,15.95,14.33,1065.09,14038.85,90.13,80.89,0.2,-1.61,0.045874057591377256,0.29961787266803747,258.136168
Mining,Africa,Canada,2000,277.2,108.77,19.57,186.75,30.69,11.15,368.91,7887.19,98.04,40.53,2.03,-2.81,0.751402781166138,0.2948415602721531,44.084481
Energy,Africa,Canada,2000,154.53,508.49,57.17,154.5,29.02,5.38,64.53,8952.83,72.78,75.03,-1.58,8.33,2.394700139470014,7.879900821323416,381.520047
Manufacturing,Africa,Canada,2000,90.32,830.68,55.22,181.66,47.15,6.15,1447.0,9732.92,94.61,1.72,1.09,-4.11,0.06241879751209398,0.5740704906703524,14.287695999999999
Manufacturing,Africa,Canada,2000,243.61,488.75,48.19,14.94,16.54,11.37,65.48,18861.14,98.81,83.77,-6.06,-0.78,3.720372632864997,7.46411117898595,409.425875
Construction,Africa,Canada,2000,195.89,726.94,25.12,172.65,49.92,11.82,1090.72,4183.01,95.02,90.34,13.76,4.83,0.17959696347366874,0.6664771893794925,656.7175960000001
Manufacturing,Africa,Canada,2000,153.51,938.63,48.19,135.29,39.09,1.32,706.36,11731.34,47.37,37.25,-2.52,1.47,0.21732544311682425,1.3288266606263095,349.639675
Construction,Africa,Canada,2000,198.9,168.24,43.36,133.34,35.13,15.1,1322.29,3364.76,84.57,40.17,9.3,5.32,0.15042086077940545,0.12723381406499332,67.582008
Manufacturing,Africa,Canada,2000,4.09,754.49,8.03,104.9,6.15,3.72,1062.95,1474.69,28.05,32.98,7.73,-4.83,0.003847782115809774,0.7098076108942095,248.83080199999998
Manufacturing,Africa,Canada,2000,82.75,850.56,42.82,154.33,12.09,9.07,1284.48,15812.37,82.42,14.79,-7.97,4.63,0.06442295714997509,0.6621823617339312,125.79782399999998
Manufacturing,Africa,Canada,2000,293.36,592.24,54.67,64.26,13.31,4.94,1285.88,16064.28,76.3,98.67,-0.1,-0.8,0.22813948424425295,0.4605717485301894,584.363208
Manufacturing,Africa,China,2000,214.73,191.65,85.71,125.76,3.75,2.46,665.62,18055.41,27.48,1.39,0.06,-2.53,0.3226014843303987,0.2879270454613744,2.6639350000000004
Energy,Africa,China,2000,294.76,925.92,50.96,118.33,23.83,12.5,785.5,19008.93,31.86,46.22,-2.73,-2.26,0.3752514322087842,1.178765117759389,427.9602239999999
Manufacturing,Africa,China,2000,119.27,306.33,98.72,127.27,41.88,1.66,574.6,3148.38,39.83,17.4,-9.21,-4.98,0.20757048381482768,0.5331186912634875,53.301419999999986
Energy,Africa,China,2000,173.06,33.07,16.27,112.16,33.02,3.48,1276.39,4700.86,30.1,15.9,1.73,-1.71,0.13558551853273684,0.02590900900195081,5.2581299999999995
Mining,Africa,China,2000,296.28,688.82,13.3,169.07,27.52,3.28,501.34,3711.12,73.67,96.08,7.27,2.24,0.5909761838273427,1.3739577931144535,661.818256
Mining,Africa,China,2000,98.42,723.1,84.74,2.4,6.15,3.66,815.71,5767.89,36.58,61.13,9.18,9.44,0.12065562516090277,0.8864670042049257,442.03103000000004
Energy,Africa,China,2000,209.02,869.09,87.63,109.41,47.48,16.43,839.36,2037.99,34.09,26.21,-9.66,2.18,0.24902306519252765,1.0354198436904307,227.788489
Mining,Africa,China,2000,267.72,877.58,84.61,151.63,16.31,2.31,325.38,21684.47,94.65,2.39,-3.74,1.89,0.8227918126498249,2.6970926301555105,20.974162
Construction,Africa,China,2000,55.7,326.53,75.68,160.27,3.5,8.72,529.51,19732.82,38.81,39.41,1.62,-1.07,0.10519159222677571,0.6166644633717965,128.68547299999997
Mining,Africa,China,2000,95.48,223.38,35.27,104.34,28.87,0.36,1075.64,21570.24,27.1,12.58,-2.55,2.44,0.08876575806031757,0.20767171172511248,28.101204
Energy,Africa,China,2000,116.23,77.79,64.11,24.23,42.58,17.07,1239.53,22495.6,38.48,13.17,4.78,3.48,0.09376941259993708,0.06275765814461934,10.244943000000001
Manufacturing,Africa,China,2000,138.87,881.09,63.96,152.45,3.89,0.47,569.46,5105.09,43.1,3.55,-4.03,-0.84,0.24386260668001264,1.5472377339936079,31.278695
Construction,Africa,China,2000,185.94,905.78,43.72,67.71,29.29,5.45,131.22,5668.58,79.55,81.48,10.84,-1.78,1.4170096021947873,6.902758725803993,738.029544
Construction,Africa,China,2000,193.65,294.14,69.87,105.89,31.52,9.83,1412.42,16675.32,53.27,96.55,7.24,0.82,0.1371051103779329,0.20825250279661855,283.99217
Mining,Africa,Germany,2000,298.07,325.06,5.15,135.07,33.54,0.16,1146.52,5821.83,62.72,66.85,3.54,6.92,0.25997802044447543,0.28351882217492935,217.30261
Mining,Africa,Germany,2000,64.3,582.58,75.87,83.97,32.78,14.47,122.6,5293.06,64.26,34.89,5.34,2.07,0.5244698205546493,4.751876019575857,203.26216200000002
Energy,Africa,Germany,2000,149.66,642.57,25.58,115.25,19.43,12.61,41.61,15433.03,40.25,98.36,0.82,-1.16,3.596731554914684,15.442682047584716,632.0318520000001
Construction,Africa,Germany,2000,199.5,281.67,65.73,164.77,3.47,13.42,169.74,12348.96,67.5,56.67,-0.15,-2.04,1.175326970661011,1.6594202898550725,159.62238900000003
Energy,Africa,Germany,2000,71.5,636.36,11.12,124.23,48.66,14.73,1382.12,15391.5,82.45,18.99,-1.95,5.34,0.051732121668161955,0.4604231181084132,120.844764
Energy,Africa,India,2000,126.1,207.72,97.8,11.5,37.07,15.17,1229.23,10060.58,67.87,98.15,-3.06,8.85,0.10258454479633591,0.16898383540915857,203.87718
Manufacturing,Africa,India,2000,34.11,186.54,68.25,116.92,18.92,2.44,995.82,1397.13,49.62,11.24,-1.81,-4.67,0.03425317828523227,0.1873230101825631,20.967096
Energy,Africa,India,2000,191.42,754.68,89.88,50.07,0.72,1.99,1318.07,22461.17,39.05,92.91,-5.4,-2.32,0.14522749171136587,0.5725644313276229,701.173188
Mining,Africa,India,2000,269.68,979.11,58.22,192.71,10.0,10.84,568.73,4391.22,72.1,50.25,8.48,1.96,0.47417931179997536,1.721572626729731,492.00277500000004
Mining,Africa,India,2000,180.31,67.28,96.01,148.45,35.53,17.47,514.47,6946.3,52.59,44.41,3.93,-3.52,0.3504771901179855,0.13077536105117887,29.879047999999997
Mining,Africa,India,2000,144.06,69.48,36.86,80.23,12.9,10.63,704.08,8696.67,68.24,13.47,-3.83,-1.86,0.20460743097375297,0.09868196795818657,9.358956000000001
Construction,Africa,India,2000,104.73,535.92,14.06,13.8,29.39,5.59,429.6,13701.98,55.16,69.11,9.71,9.27,0.2437849162011173,1.247486033519553,370.374312
Mining,Africa,India,2000,273.18,480.93,43.98,68.5,43.08,1.21,609.12,5386.89,82.65,56.71,-0.76,6.11,0.44848305752561074,0.7895488573680063,272.735403
Energy,Africa,India,2000,198.46,751.43,27.17,170.07,7.89,11.51,202.22,22522.18,97.91,25.53,-3.85,4.31,0.9814063890811987,3.7159034714667194,191.840079
Mining,Africa,India,2000,4.66,432.94,31.12,33.18,42.8,15.16,708.94,5505.88,25.61,70.7,-0.36,-1.36,0.006573193782266482,0.6106863768443027,306.08858
Construction,Africa,India,2000,183.86,189.41,0.65,45.74,7.35,0.52,65.91,5487.88,70.69,66.56,11.49,-3.78,2.7895615232893345,2.8737672583826432,126.071296
Construction,Africa,India,2000,77.0,128.57,29.26,176.12,30.0,0.36,1409.51,20615.11,51.67,93.26,5.85,8.52,0.054628913594085886,0.09121609637391717,119.904382
Construction,Africa,India,2000,284.48,20.3,27.15,71.81,21.31,3.71,1213.21,24331.59,38.0,37.72,10.77,-3.44,0.23448537351324175,0.01673247005876971,7.65716
Energy,Africa,India,2000,188.22,210.64,44.74,7.64,44.74,8.76,235.36,19651.63,76.46,25.74,13.38,-4.71,0.7997110808973487,0.8949694085656015,54.21873599999999
Construction,Africa,South Africa,2000,219.06,574.59,28.39,60.96,19.93,18.24,495.78,14206.37,83.44,59.21,-5.09,-3.93,0.44184920730969385,1.1589616362096091,340.21473900000007
Mining,Africa,South Africa,2000,95.69,781.13,4.82,132.44,9.35,2.73,29.86,8298.41,86.01,68.68,4.24,-1.79,3.2046215673141325,26.15974547890154,536.480084
Construction,Africa,South Africa,2000,9.6,76.2,62.51,24.52,17.86,10.6,612.77,17066.32,38.09,97.04,-4.88,5.59,0.015666563310867045,0.12435334628000719,73.94448
Mining,Africa,South Africa,2000,159.11,972.98,82.03,92.69,9.8,10.79,548.72,12371.43,46.02,82.51,1.05,3.45,0.2899657384458376,1.773181221752442,802.8057980000001
Mining,Africa,South Africa,2000,160.78,322.17,96.86,65.83,36.31,2.26,1031.21,20745.56,61.38,57.79,1.36,5.11,0.15591392635835571,0.31241939081273457,186.18204300000002
Construction,Africa,South Africa,2000,280.2,665.64,61.22,87.97,12.56,1.51,404.31,14474.41,90.68,65.56,5.54,-3.24,0.6930325740149884,1.6463604659790754,436.393584
Energy,Africa,South Africa,2000,107.6,816.31,64.15,173.38,30.91,10.07,214.91,2023.63,74.54,61.03,4.24,-3.5,0.5006747010376437,3.798380717509655,498.193993
Construction,Africa,South Africa,2000,264.82,439.55,2.58,129.1,3.46,2.77,1075.68,15737.36,84.1,90.84,-7.53,7.89,0.24618845753383903,0.40862524170757103,399.28722
Energy,Africa,South Africa,2000,20.6,734.0,55.79,175.57,29.96,16.74,593.9,6699.69,23.44,10.6,10.9,1.46,0.034685974069708705,1.2358982993769996,77.804
Energy,Africa,South Africa,2000,182.73,193.14,57.42,88.64,33.71,3.29,129.98,7057.73,70.08,41.29,-1.82,-3.64,1.405831666410217,1.4859209109093707,79.74750599999999
Manufacturing,Africa,South Africa,2000,35.53,372.72,34.4,165.92,29.01,5.6,1300.96,12853.03,41.52,7.74,-3.04,2.99,0.02731060140204157,0.286496125937769,28.848528
Manufacturing,Africa,South Africa,2000,108.55,554.85,26.03,141.07,10.54,15.67,193.5,10759.33,29.31,48.18,4.52,2.72,0.5609819121447028,2.8674418604651164,267.32673
Manufacturing,Africa,South Africa,2000,168.61,421.43,5.32,179.94,37.85,0.7,805.38,22931.97,31.26,28.49,7.17,4.99,0.20935459037969656,0.5232685192083241,120.065407
Manufacturing,Africa,South Africa,2000,209.88,539.98,17.18,101.5,39.42,19.53,530.43,14212.26,56.44,72.24,-7.46,7.84,0.39567897743340313,1.018004260694154,390.081552
Energy,Africa,Usa,2000,45.97,387.93,47.25,46.56,44.0,10.12,577.25,16772.51,24.62,44.68,-1.24,8.45,0.07963620614984841,0.672031182330013,173.327124
Construction,Africa,Usa,2000,88.39,528.35,57.96,57.57,13.45,13.32,1334.0,22109.68,32.06,92.19,-4.12,-1.78,0.06625937031484258,0.396064467766117,487.08586499999996
Manufacturing,Africa,Usa,2000,152.17,785.74,28.32,195.8,10.62,0.76,475.95,22540.92,86.03,49.09,5.35,0.4,0.3197184578211997,1.6508876982876353,385.719766
Mining,Africa,Usa,2000,118.99,253.65,88.29,99.68,48.52,3.27,456.48,24892.03,54.65,7.52,11.55,-3.18,0.2606685944619698,0.5556650893796005,19.074479999999998
Construction,Africa,Usa,2000,10.53,288.03,33.23,88.29,3.2,7.96,852.81,11516.78,48.7,47.41,10.13,5.04,0.012347416188834559,0.33774228726211,136.55502299999998
Energy,Africa,Usa,2000,206.22,740.13,90.92,122.55,43.0,15.22,1163.34,24395.7,95.57,59.3,13.54,1.9,0.177265459796792,0.6362112538037031,438.89708999999993
Mining,Africa,Usa,2000,230.17,839.55,25.67,177.5,34.85,14.12,650.84,22271.7,27.18,28.5,-5.44,-4.65,0.3536506668305574,1.2899483744084566,239.27175
Energy,Africa,Usa,2000,96.37,3.88,56.4,27.73,8.25,9.9,219.05,870.16,97.74,54.87,6.88,6.18,0.439945217986761,0.01771285094727231,2.1289559999999996
Manufacturing,Africa,Usa,2000,163.83,278.41,17.3,162.83,22.49,18.8,1224.47,6296.54,56.18,83.73,-0.01,-2.53,0.1337966630460526,0.22737184251145395,233.11269300000004
Construction,Africa,Usa,2000,58.7,679.54,98.84,152.55,18.42,3.67,1372.95,14400.18,21.31,58.58,-3.09,2.23,0.04275465239083725,0.4949488328052733,398.074532
Mining,Africa,Usa,2000,160.68,304.6,45.13,63.68,30.95,3.46,920.89,15983.19,50.94,88.3,5.85,9.55,0.17448338020827678,0.3307669754259467,268.9618
Manufacturing,Africa,Usa,2000,35.75,327.69,59.19,69.4,26.7,15.45,589.19,21321.78,33.71,8.06,10.12,-2.95,0.060676522004786224,0.5561703355454097,26.411814
Construction,Africa,Usa,2000,270.05,270.63,71.92,126.39,23.01,12.41,1328.65,21670.09,50.56,74.64,-7.03,3.3,0.20325142061490986,0.20368795393820793,201.998232
Mining,Asia,Australia,2000,133.84,797.08,26.9,114.74,21.68,5.26,668.53,2284.93,46.48,85.69,-7.43,-0.58,0.2002004397708405,1.192287556280197,683.017852
Manufacturing,Asia,Australia,2000,168.22,861.96,91.61,37.03,36.41,14.71,688.95,16849.81,72.92,73.4,-9.33,8.43,0.24416866245736263,1.2511212715001088,632.6786400000001
Construction,Asia,Australia,2000,247.34,179.0,55.85,106.95,15.07,3.57,1407.24,3661.65,98.65,80.25,8.07,8.47,0.17576248543247777,0.12719934055313947,143.6475
Mining,Asia,Australia,2000,25.23,941.33,82.85,169.64,22.34,2.4,1218.67,16389.78,71.16,25.98,4.98,9.02,0.020702897420958915,0.7724240360392888,244.557534
Construction,Asia,Australia,2000,7.67,867.04,61.42,49.03,49.7,9.55,1192.35,14436.6,40.0,52.52,-3.94,2.24,0.006432674969597854,0.7271690359374345,455.369408
Energy,Asia,Australia,2000,263.48,528.09,8.57,5.43,10.44,3.83,341.59,4720.67,90.44,1.62,2.81,-4.51,0.7713340554465882,1.5459761702625958,8.555058
Energy,Asia,Australia,2000,200.65,145.87,41.12,2.23,26.67,3.84,954.94,10363.27,66.61,5.54,6.66,1.77,0.2101179131673194,0.15275305254780405,8.081198
Construction,Asia,Australia,2000,224.63,120.44,20.64,26.05,29.51,9.26,114.74,4797.61,81.04,48.18,-2.51,1.38,1.9577305211783163,1.0496775318110512,58.027992
Manufacturing,Asia,Australia,2000,80.54,43.51,16.9,21.07,9.61,18.82,333.73,12033.63,69.16,82.98,4.09,2.1,0.24133281395139783,0.13037485392383064,36.104598
Mining,Asia,Australia,2000,183.51,537.42,7.22,141.58,0.42,19.57,973.13,20801.06,30.08,37.32,-1.91,7.08,0.18857706575688757,0.5522592048338865,200.565144
Construction,Asia,Australia,2000,136.53,737.73,17.26,100.12,12.3,9.34,166.0,6391.86,25.04,42.94,10.48,6.05,0.8224698795180723,4.444156626506024,316.78126199999997
Manufacturing,Asia,Australia,2000,168.29,287.78,38.92,163.95,27.94,9.51,1451.47,20186.93,30.82,16.61,1.83,0.74,0.11594452520548133,0.19826796282389575,47.80025799999999
Mining,Asia,Australia,2000,105.85,263.23,81.16,106.53,19.62,6.9,374.48,13705.31,60.19,87.33,-0.79,-0.64,0.28265861995300146,0.7029213843195898,229.87875900000003
Energy,Asia,Australia,2000,40.03,29.03,83.32,19.29,22.51,16.22,1327.33,21518.91,59.51,41.38,11.96,3.09,0.030158287690325695,0.021870974060708342,12.012614000000001
Construction,Asia,Australia,2000,240.85,466.6,93.35,83.11,10.16,1.63,95.21,16314.66,21.91,75.43,-6.46,1.16,2.529671253019641,4.9007457199873965,351.9563800000001
Construction,Asia,Australia,2000,110.13,89.66,99.15,127.59,7.42,18.72,350.37,22202.47,24.14,40.37,-3.41,3.9,0.31432485658018666,0.25590090475782745,36.195741999999996
Construction,Asia,Australia,2000,276.16,39.62,36.34,110.63,3.03,2.81,122.14,15222.83,98.44,36.52,-3.88,-2.93,2.2610119534959883,0.32438185688554116,14.469223999999999
Mining,Asia,Australia,2000,154.2,478.01,54.19,144.87,16.89,15.37,967.6,12167.18,49.49,63.83,-5.98,-2.84,0.1593633732947499,0.49401612236461345,305.113783
Construction,Asia,Brazil,2000,135.54,817.34,89.87,159.8,32.32,3.11,397.19,20801.93,52.43,36.66,3.64,-4.89,0.34124726201565997,2.05780608776656,299.636844
Manufacturing,Asia,Brazil,2000,246.93,666.48,53.47,83.97,44.42,11.21,889.87,7737.11,55.48,46.09,10.56,3.24,0.2774899704451212,0.7489633317226112,307.18063200000006
Construction,Asia,Brazil,2000,88.67,457.94,8.83,105.21,41.61,19.04,586.75,6824.41,67.56,22.0,10.03,7.94,0.15112057946314444,0.7804686834256498,100.74680000000001
Manufacturing,Asia,Brazil,2000,246.04,655.28,91.31,41.68,6.34,3.5,1383.31,21972.93,35.71,38.21,-8.82,7.67,0.17786324106671678,0.4737043757364582,250.38248800000002
Mining,Asia,Brazil,2000,177.57,310.81,86.18,161.01,44.86,19.41,983.53,21749.51,36.38,53.49,9.37,2.25,0.18054355230648786,0.3160147631490651,166.252269
Construction,Asia,Brazil,2000,24.55,872.9,14.36,18.49,44.68,9.66,967.99,14039.01,77.7,48.66,14.83,-1.21,0.025361832250333165,0.9017655141065507,424.75314
Manufacturing,Asia,Brazil,2000,105.98,465.5,28.84,190.55,23.06,5.52,851.31,380.48,57.27,84.76,-4.7,3.88,0.12449049112544198,0.5468043368455675,394.5578
Mining,Asia,Brazil,2000,184.75,949.55,72.72,41.11,27.9,10.15,539.03,1114.22,57.5,65.79,14.16,7.96,0.3427453017457285,1.7615902639927277,624.708945
Mining,Asia,Brazil,2000,220.49,288.82,49.84,145.37,17.37,10.83,1004.03,9049.27,72.98,61.48,0.32,3.92,0.21960499188271268,0.2876607272691055,177.56653599999999
Manufacturing,Asia,Brazil,2000,167.49,848.62,51.93,12.67,11.98,7.07,5.89,14963.41,94.53,15.13,7.63,6.42,28.43633276740238,144.07809847198644,128.396206
Construction,Asia,Brazil,2000,98.72,829.73,15.12,188.89,32.31,10.55,487.98,5353.73,87.41,85.51,-9.72,1.56,0.20230337308906102,1.7003360793475142,709.502123
Energy,Asia,Brazil,2000,238.88,706.71,66.86,149.08,13.25,15.3,1282.47,11554.68,71.26,99.01,0.34,-4.25,0.1862655656662534,0.551053825820487,699.7135710000001
Mining,Asia,Brazil,2000,128.66,104.7,19.2,35.55,7.61,13.44,324.81,4974.47,61.63,10.54,-5.37,2.65,0.3961084941966072,0.3223422924171054,11.03538
Energy,Asia,Canada,2000,137.15,601.45,5.74,184.32,26.36,4.81,446.51,4994.57,21.9,26.82,-8.55,6.47,0.30715997402073864,1.3470023067792436,161.30889000000002
Energy,Asia,Canada,2000,277.38,592.87,48.66,163.73,28.31,18.16,1368.31,21578.52,59.37,35.81,4.04,-0.09,0.20271722051289548,0.43328631669723966,212.30674700000003
Construction,Asia,Canada,2000,115.5,365.37,17.41,130.83,43.92,19.23,1209.12,10954.34,56.2,94.4,-4.92,-4.95,0.09552401746724892,0.3021784438269155,344.90928
Construction,Asia,Canada,2000,117.66,645.95,34.44,182.16,17.12,19.5,1104.19,518.14,52.48,10.8,14.27,-1.51,0.10655774821362264,0.5849989585125749,69.7626
Construction,Asia,Canada,2000,170.41,392.16,42.15,85.78,37.66,16.26,471.54,17544.98,80.88,41.01,-6.23,9.45,0.36139033804131143,0.8316579717521313,160.824816
Construction,Asia,Canada,2000,249.97,344.93,50.39,163.54,48.23,18.21,332.45,19986.07,97.97,51.91,13.41,4.19,0.7519025417355993,1.0375394796209958,179.05316299999998
Energy,Asia,Canada,2000,94.87,762.78,69.71,11.16,12.17,4.82,1377.4,3376.86,64.83,60.16,5.38,-3.27,0.06887614345869028,0.5537824887469144,458.888448
Construction,Asia,Canada,2000,208.66,929.18,20.26,20.63,14.13,7.05,483.79,10410.85,79.35,47.84,13.0,0.25,0.43130283800822666,1.9206267182041794,444.519712
Energy,Asia,Canada,2000,66.79,78.03,10.75,160.46,47.67,13.39,1091.6,4006.2,31.45,4.85,-5.08,-0.98,0.06118541590326128,0.07148222792231587,3.784455
Mining,Asia,Canada,2000,169.79,681.99,1.31,140.37,31.63,19.7,314.47,15419.43,28.8,49.26,0.71,9.99,0.5399243171049702,2.1686965370305593,335.948274
Construction,Asia,Canada,2000,236.58,196.1,53.68,85.89,4.18,6.02,904.1,21734.6,70.34,0.42,-1.05,7.83,0.2616745935184161,0.21690078531135934,0.8236199999999999
